model,accuracy,f1_macro,auc_ovr
XGBoost,0.5806671204901294,0.45595253845233924,0.7069104433203965
LogReg,0.5776038121170864,0.4460251460324998,0.7056294769347445
RandomForest,0.5833900612661674,0.42539325421305535,0.7143501873041144
Dummy,0.47447243022464264,0.21452754693751921,0.5
